TIME,GEO,NUTRIENT,UNIT,Value,Flag and Footnotes
2013,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Nitrogen,Tonne,10922348,e
2013,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Phosphorus,Tonne,1318864,e
2013,European Union - 28 countries,Nitrogen,Tonne,10922348,e
2013,European Union - 28 countries,Phosphorus,Tonne,1318864,e
2013,Belgium,Nitrogen,Tonne,149834,
2013,Belgium,Phosphorus,Tonne,4682,e
2013,Bulgaria,Nitrogen,Tonne,258856,
2013,Bulgaria,Phosphorus,Tonne,11656,
2013,Czechia,Nitrogen,Tonne,331616,
2013,Czechia,Phosphorus,Tonne,18201,
2013,Denmark,Nitrogen,Tonne,193600,
2013,Denmark,Phosphorus,Tonne,12300,
2013,Germany (until 1990 former territory of the FRG),Nitrogen,Tonne,1648828,
2013,Germany (until 1990 former territory of the FRG),Phosphorus,Tonne,124073,
2013,Estonia,Nitrogen,Tonne,33659,
2013,Estonia,Phosphorus,Tonne,3129,
2013,Ireland,Nitrogen,Tonne,353044,
2013,Ireland,Phosphorus,Tonne,36986,
2013,Greece,Nitrogen,Tonne,182634,
2013,Greece,Phosphorus,Tonne,25896,
2013,Spain,Nitrogen,Tonne,961507,
2013,Spain,Phosphorus,Tonne,189014,
2013,France,Nitrogen,Tonne,2143821,
2013,France,Phosphorus,Tonne,217184,
2013,Croatia,Nitrogen,Tonne,77920,
2013,Croatia,Phosphorus,Tonne,12518,
2013,Italy,Nitrogen,Tonne,582362,
2013,Italy,Phosphorus,Tonne,224632,
2013,Cyprus,Nitrogen,Tonne,7051,e
2013,Cyprus,Phosphorus,Tonne,1945,
2013,Latvia,Nitrogen,Tonne,69696,
2013,Latvia,Phosphorus,Tonne,10670,
2013,Lithuania,Nitrogen,Tonne,155000,e
2013,Lithuania,Phosphorus,Tonne,18165,e
2013,Luxembourg,Nitrogen,Tonne,13366,
2013,Luxembourg,Phosphorus,Tonne,515,
2013,Hungary,Nitrogen,Tonne,342949,
2013,Hungary,Phosphorus,Tonne,33247,
2013,Malta,Nitrogen,Tonne,571,
2013,Malta,Phosphorus,Tonne,31,
2013,Netherlands,Nitrogen,Tonne,216026,
2013,Netherlands,Phosphorus,Tonne,3984,
2013,Austria,Nitrogen,Tonne,110626,
2013,Austria,Phosphorus,Tonne,14234,
2013,Poland,Nitrogen,Tonne,1194757,
2013,Poland,Phosphorus,Tonne,168295,
2013,Portugal,Nitrogen,Tonne,111077,
2013,Portugal,Phosphorus,Tonne,17289,
2013,Romania,Nitrogen,Tonne,344468,
2013,Romania,Phosphorus,Tonne,49697,
2013,Slovenia,Nitrogen,Tonne,27263,
2013,Slovenia,Phosphorus,Tonne,3886,
2013,Slovakia,Nitrogen,Tonne,113581,
2013,Slovakia,Phosphorus,Tonne,8959,
2013,Finland,Nitrogen,Tonne,138136,
2013,Finland,Phosphorus,Tonne,11184,
2013,Sweden,Nitrogen,Tonne,161100,
2013,Sweden,Phosphorus,Tonne,11800,
2013,United Kingdom,Nitrogen,Tonne,999000,
2013,United Kingdom,Phosphorus,Tonne,84692,
2013,Norway,Nitrogen,Tonne,95523,
2013,Norway,Phosphorus,Tonne,8455,
2013,Switzerland,Nitrogen,Tonne,45700,
2013,Switzerland,Phosphorus,Tonne,4323,
2013,Turkey,Nitrogen,Tonne,1584237,
2013,Turkey,Phosphorus,Tonne,271906,
2014,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Nitrogen,Tonne,11127189,e
2014,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Phosphorus,Tonne,1313589,e
2014,European Union - 28 countries,Nitrogen,Tonne,11127189,e
2014,European Union - 28 countries,Phosphorus,Tonne,1313589,e
2014,Belgium,Nitrogen,Tonne,152003,
2014,Belgium,Phosphorus,Tonne,4750,e
2014,Bulgaria,Nitrogen,Tonne,322004,
2014,Bulgaria,Phosphorus,Tonne,28144,
2014,Czechia,Nitrogen,Tonne,325667,
2014,Czechia,Phosphorus,Tonne,20070,
2014,Denmark,Nitrogen,Tonne,186800,
2014,Denmark,Phosphorus,Tonne,14000,
2014,Germany (until 1990 former territory of the FRG),Nitrogen,Tonne,1675289,
2014,Germany (until 1990 former territory of the FRG),Phosphorus,Tonne,123999,
2014,Estonia,Nitrogen,Tonne,35806,
2014,Estonia,Phosphorus,Tonne,3775,
2014,Ireland,Nitrogen,Tonne,331782,
2014,Ireland,Phosphorus,Tonne,35584,
2014,Greece,Nitrogen,Tonne,165942,
2014,Greece,Phosphorus,Tonne,24024,
2014,Spain,Nitrogen,Tonne,1101895,
2014,Spain,Phosphorus,Tonne,174028,
2014,France,Nitrogen,Tonne,2190930,
2014,France,Phosphorus,Tonne,206798,
2014,Croatia,Nitrogen,Tonne,73680,
2014,Croatia,Phosphorus,Tonne,16875,
2014,Italy,Nitrogen,Tonne,581063,
2014,Italy,Phosphorus,Tonne,228455,
2014,Cyprus,Nitrogen,Tonne,6693,e
2014,Cyprus,Phosphorus,Tonne,1728,
2014,Latvia,Nitrogen,Tonne,72935,
2014,Latvia,Phosphorus,Tonne,10204,
2014,Lithuania,Nitrogen,Tonne,162000,e
2014,Lithuania,Phosphorus,Tonne,19419,e
2014,Luxembourg,Nitrogen,Tonne,12714,
2014,Luxembourg,Phosphorus,Tonne,515,
2014,Hungary,Nitrogen,Tonne,326753,
2014,Hungary,Phosphorus,Tonne,35987,
2014,Malta,Nitrogen,Tonne,594,
2014,Malta,Phosphorus,Tonne,28,
2014,Netherlands,Nitrogen,Tonne,213200,
2014,Netherlands,Phosphorus,Tonne,5869,
2014,Austria,Nitrogen,Tonne,121562,
2014,Austria,Phosphorus,Tonne,14110,
2014,Poland,Nitrogen,Tonne,1098455,
2014,Poland,Phosphorus,Tonne,148917,
2014,Portugal,Nitrogen,Tonne,129991,
2014,Portugal,Phosphorus,Tonne,18456,
2014,Romania,Nitrogen,Tonne,303562,
2014,Romania,Phosphorus,Tonne,51772,
2014,Slovenia,Nitrogen,Tonne,28612,
2014,Slovenia,Phosphorus,Tonne,3991,
2014,Slovakia,Nitrogen,Tonne,119036,
2014,Slovakia,Phosphorus,Tonne,9918,
